player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_raw,arg_raw,app_raw,ott_raw,t2g_raw,total_raw
"Thompson, Curtis",18,0,0.001,0,51,29,0.023758728,-0.312407732,-0.468322455,0.09439947,-0.686330716,-0.261346481
"Brehm, Ryan",12,1,0.066,0,36,14,-1.245314165,-0.582914705,-0.599296134,-0.086813584,-1.269024422,0.230806327
"Besseling, Wil",11,0,0,0,37,37,-0.203482118,-0.112967663,-0.087729428,0.740403111,0.53970602,0.3053583
"Kearney, Niall",8,0,0,0,26,12,-0.161903251,0.111373881,0.82876625,0.304271281,1.244411412,0.781237332
"Morrison, James",10,0,0.001,0,32,32,0.940515739,-0.247155471,-0.126018946,-0.355571616,-0.728746033,0.231253159
"Hoffman, Charley",16,0,0,0,44,36,-0.335736769,0.021022864,-0.330567452,-0.304952194,-0.614496782,-0.5147408
"Hojgaard, Nicolai",11,1,0.37,0,28,22,-0.682567763,-0.283197103,0.358047548,0.801576514,0.876426959,-0.014934258
"Martin, Ben",11,0,0.005,0,33,16,0.085400579,-0.140911659,-0.568453159,0.137296781,-0.572068037,-0.036692498
"Moller, Niklas Norgaard",9,0,0,0,32,28,0.41575567,-0.261848299,-0.135480939,0.376410382,-0.020918856,0.34200381
"Herman, Jim",15,0,0,0,42,33,-0.429664528,-0.242551059,-0.227230991,-0.032463992,-0.502246043,-0.488356233
"Farr, Oliver",7,0,0,0,19,19,0.522733396,0.302002663,0.052610065,-0.398775401,-0.044162673,0.419412267
"Garcia-Heredia, Alfredo",9,0,0,0,26,22,-0.285061756,-0.041737516,0.241549881,0.311564013,0.511376378,0.631763188
"Schmid, Matthias",13,0,0,0,42,34,-0.594840215,-0.292647234,0.331305887,0.629618451,0.668277104,0.307575065
"Villegas, Camilo",17,0,0,0,50,30,-0.776239459,0.166196875,-0.0129319,-0.169666277,-0.016401302,-0.392701279
"Chalmers, Greg",5,0,0,0,15,3,0.045739148,0.035458181,-1.393659853,0.290819815,-1.067381857,0.030702466
"Hanna, Chase",12,0,0,0,30,30,0.770530496,0.124761695,-0.410588184,-0.100909413,-0.386735901,0.421319978
"Ferguson, Ewen",10,1,0,0,34,34,-0.35057853,-0.383883631,0.448576594,0.539284074,0.603977036,0.28625661
"Higgo, Garrick",16,0,0.002,0,46,32,-0.254261556,-0.401370688,-0.238720179,-0.104835806,-0.744926673,-0.935863233
"Gligic, Michael",16,0,0,0,51,35,-0.575373438,-0.058250934,-0.278738096,0.051155444,-0.285833585,-0.43917257
"Catlin, John",11,0,0,0,38,26,-0.049436311,-0.097707457,-0.075532248,0.535475155,0.36223545,0.597048078
"Luiten, Joost",10,0,0,0,28,28,0.327420277,-0.359265437,0.161312455,0.107325768,-0.090627214,0.268420335
"Hansen, Joachim B",11,0,0,0,38,34,-0.083615163,-0.151649412,0.107390763,0.175084543,0.130825894,0.171962309
"Stanley, Kyle",18,0,0,0,45,27,-1.13663575,-0.385575712,0.008030374,0.234572199,-0.142973139,-0.708775343
"Hagy, Brandon",22,0,0,0,58,39,-0.018120459,-0.26107898,-0.624011654,0.123577871,-0.761512763,-0.57205998
"Heisele, Sebastian",5,0,0,0,18,18,0.200572294,-0.060192157,-0.176229857,0.231507831,-0.004914183,0.188003287
"Knous, Jim",14,0,0.001,0,38,18,0.51096794,0.299134675,-0.609253806,-0.262021461,-0.572140592,-0.3348313
"Flavin, Patrick",9,0,0,0,28,4,0.065544198,-0.048153004,-0.75195006,-0.401731065,-1.201834129,0.670291436
"Kraft, Kelly",19,0,0,0,46,33,0.681366256,-0.279346277,-0.613912691,-0.383071851,-1.276330819,-0.362806149
"Skinns, David",17,0,0,0,50,30,-0.031878254,0.128617218,-0.243265018,-0.575894404,-0.690542204,-0.509111162
"Lombard, Zander",12,0,0,0,37,33,-0.642718933,0.083229765,0.39875602,0.249610393,0.731596177,0.419903895
"Rock, Robert",6,0,0,0,21,17,-0.337056199,-0.132065043,0.203075741,0.03437361,0.105384308,-0.045092119
"DeChambeau, Bryson",7,0,0,0,18,9,0.557994234,-0.832210862,-0.59486617,-0.752444838,-2.179521869,-0.813611432
"McGreevy, Max",18,0,0.001,0,49,32,0.057636319,-0.027572634,-0.336146539,-0.47352645,-0.837245623,-0.407011774
"Mickelson, Phil",5,0,0,0,17,10,0.132630779,0.074230144,-0.598455881,-0.340573926,-0.864799662,-0.936500637
"Porteous, Garrick",8,0,0,0,22,12,-0.694348631,0.044503931,-0.18645988,0.532362503,0.390406555,0.566400664
"Santos, Ricardo",9,0,0,0,28,24,-0.173910803,0.729202479,-0.198979942,-0.275969704,0.254252833,0.236106413
"Trainer, Martin",22,0,0.011,0,57,40,0.619587796,-0.050914399,-1.015383436,-0.359012452,-1.425310287,-0.595424205
"Forrest, Grant",11,0,0,0,34,34,0.198466748,0.002383802,-0.562450899,0.417495118,-0.14257198,0.073699501
"Von Dellingshausen, Nicolai",10,0,0,0,30,26,-0.281251151,-0.054760885,0.433513726,-0.075305194,0.303447647,0.132668952
"Aphibarnrat, Kiradech",15,0,0,0,47,30,-0.286756242,-0.440155633,-0.152889443,-0.097709914,-0.69075499,-0.280522758
"Sharma, Shubhankar",10,0,0.005,0,32,20,0.747463759,-0.669607527,0.434070315,-0.674857536,-0.910394749,0.26466647
"Stone, Brandon",12,0,0,0,38,36,-0.312386793,-0.094908908,0.009269711,0.412020943,0.326381746,0.112826988
"Reeves, Seth",18,0,0.007,0,48,29,-0.042572411,-0.662824971,-0.749263979,0.493006561,-0.919082389,-0.788247152
"De Jager, Louis",13,0,0,0,40,18,-0.84347212,0.403808889,1.02134209,0.052246583,1.477397561,1.150287286
"Gay, Brian",19,0,0,0,55,28,1.067601613,0.297819291,-1.38974534,-0.821209335,-1.913135385,-0.079656657
"Kofstad, Espen",12,0,0,0,33,33,-0.060516345,-0.100936412,0.279526389,0.027426227,0.206016204,0.180254714
"Helligkilde, Marcus",11,0,0,0,32,32,0.03114829,0.139006049,-0.766353804,0.604822496,-0.02252526,0.078178556
"Cockerill, Aaron",11,0,0.003,0,34,20,1.002069085,-0.591568618,-0.050929991,-0.140528489,-0.783027098,0.541473981
"Samooja, Kalle",10,0,0.001,0,30,26,0.369606398,-0.156896662,-0.348936285,-0.077367427,-0.583200373,0.001129285
"Burgoon, Bronson",13,0,0,0,37,27,0.067604249,-0.244016422,-0.193848561,-0.489632357,-0.92749734,-0.862690681
"LaCroix, Frederic",11,0,0,0,30,26,0.115596825,-0.281779682,0.26655589,-0.057758763,-0.072982555,0.161253031
"Trahan, D.J.",7,0,0,0,19,6,-1.499502557,0.302568842,0.732475533,-0.053070354,0.98197402,-0.241254562
"McCumber, Tyler",11,0,0.03,0,28,18,0.098802796,-0.354611309,-0.469904266,-0.526973798,-1.351489373,-0.900705963
"Kruyswijk, Jacques",9,0,0,0,26,22,-0.119177096,0.25566358,-0.678179486,0.731021955,0.308506049,0.221061753
"Bertasio, Nino",11,0,0,0,32,32,-0.231535525,-0.178734067,0.703094743,-0.290387349,0.233973328,0.035528716
"Waring, Paul",6,0,0,0,19,19,-0.249515458,-0.21697944,0.152686871,0.366753341,0.302460772,-0.092709473
"Nienaber, Wilco",13,0,0,0,41,16,0.147433106,0.103386749,-0.532441818,0.454565995,0.025510926,0.894830838
"Winther, Jeff",8,0,0.001,0,26,18,0.60122485,0.00462882,-0.21891532,-0.521051959,-0.735338459,-0.166464913
"Cook, Austin",17,0,0.001,0,46,29,-0.149238409,-0.053651481,-0.457071206,-0.403563487,-0.914286175,-0.791814572
"Wallace, Matt",16,0,0.002,0,44,37,-0.619605612,-0.096373776,-0.113552332,-0.614927127,-0.824853235,-1.017821558
"McEvoy, Richard",9,0,0.002,0,26,26,0.299025717,0.389326226,-0.045594454,-0.509222482,-0.16549071,0.037540284
"Rozner, Antoine",11,0,0.001,0,34,26,-0.492155781,-0.099692211,-0.282103647,0.078623595,-0.303172262,-0.037274815
"Tarrio Ben, Santiago",12,0,0,0,34,34,-0.334746142,0.113044057,0.19305636,0.001109675,0.307210092,0.027164526
"Garcia Rodriguez, Sebastian",9,0,0,0,27,23,-0.050491948,0.090355622,-0.47360036,0.068841787,-0.314402951,-0.098788527
"Kawamura, Masahiro",12,0,0,0,38,32,0.057766986,0.433737338,-0.568657132,0.486837406,0.351917612,0.143522969
"Laporta, Francesco",11,0,0,0,32,28,-0.094016556,0.124097786,-0.538184505,0.374583568,-0.039503152,-0.07271531
"Hoag, Bo",14,0,0,0,38,11,-0.403141654,-0.3548632,-1.158659299,-0.164619256,-1.678141755,-0.337485652
"Hadley, Chesson",21,0,0,0,57,40,0.325622611,-0.366921348,-0.394798381,-0.598741607,-1.360461337,-1.009392714
"Schneider, Marcel",9,0,0,0,22,18,-0.099844133,0.390466651,-0.636689255,0.005789489,-0.240433115,0.047696577
"Soderberg, Sebastian",12,0,0.002,0,36,32,-0.263379406,0.193821094,0.227682081,-0.37284714,0.048656035,0.009895998
"Wilshire, Kyle",4,0,0,0,14,5,-0.258567238,-0.723565993,0.178127956,-0.176939478,-0.722377516,-0.594219944
